protein,ridge_pcc,mlp_pcc,pcc_difference,better_model
CD268,0.0775490356712854,0.080696867910454,0.003147832239168591,MLP higher
CD8,0.1633451068075082,0.166434427353571,0.0030893205460628126,MLP higher
TCR,0.3017831968761225,0.3047858967811674,0.0030026999050449255,MLP higher
CD224,0.5318766327852904,0.5348485365186894,0.0029719037333989506,MLP higher
CD26,0.5559923716359089,0.5589389785472959,0.0029466069113870397,MLP higher
CD319,0.2124029196958476,0.2151516505526798,0.0027487308568321933,MLP higher
TCRVa7.2,0.1109966685164392,0.1135741139541843,0.0025774454377451017,MLP higher
CD5,0.2771148995946469,0.2794808449061957,0.002365945311548767,MLP higher
CD152,0.4009763053794845,0.4032149757366115,0.0022386703571270483,MLP higher
CD158b,0.3183583417550721,0.3205896472707222,0.002231305515650095,MLP higher
CD314,0.3118860092128172,0.3139650062995165,0.0020789970866993412,MLP higher
HLA-E,0.3322110039071166,0.3341826898115555,0.0019716859044389135,MLP higher
CD52,0.508953051978032,0.5109110284399618,0.0019579764619298556,MLP higher
CD32,0.819541971118388,0.8212927739169704,0.0017508027985824182,MLP higher
CD94,0.1367729724008951,0.1384791409439321,0.0017061685430370122,MLP higher
CD35,0.4407138307016715,0.4424087498509992,0.0016949191493276783,MLP higher
CD64,0.4437951068080824,0.4453294613935864,0.0015343545855040497,MLP higher
CD122,0.1383885362020564,0.1398114596297542,0.0014229234276977865,MLP higher
CD45,0.7138185254766862,0.7147204131561486,0.0009018876794624209,MLP higher
CD163,0.1824915845405215,0.1833840959880922,0.0008925114475706875,MLP higher
CD58,0.6413378320554112,0.6421496435518077,0.0008118114963965306,MLP higher
CD161,0.1453740591838629,0.1461507054356262,0.0007766462517632966,MLP higher
CD124,0.4233557614568926,0.4240440465071385,0.0006882850502459292,MLP higher
CD56,0.2323235708703614,0.2329394483743562,0.000615877503994805,MLP higher
CD270,0.3609515032995733,0.3610490141660339,9.751086646059282e-05,MLP higher
CD115,0.70133931246141,0.7007922930142787,-0.0005470194471313139,Ridge higher
CD11b,0.1663399029802632,0.1656697369798743,-0.0006701660003888832,Ridge higher
CD54,0.6713374145749833,0.6705602280830675,-0.0007771864919158267,Ridge higher
FceRIa,0.6859807219756986,0.6847214426397794,-0.0012592793359191834,Ridge higher
CD21,0.152636873505308,0.1513057922757205,-0.0013310812295874996,Ridge higher
CD9,0.6619440728387141,0.6605667627290928,-0.001377310109621388,Ridge higher
CD48,0.8184408295220896,0.8166828572340072,-0.0017579722880823878,Ridge higher
CD303,0.1827395110788194,0.180943387976546,-0.0017961231022733948,Ridge higher
CD3,0.1234607745975985,0.1212811865515317,-0.0021795880460667993,Ridge higher
TIGIT,0.2363032680654627,0.2336471594751202,-0.0026561085903425152,Ridge higher
CD72,0.5011890889267216,0.4980743557352803,-0.0031147331914413434,Ridge higher
CD71,0.7941072450469422,0.7909331148737602,-0.0031741301731820215,Ridge higher
CD88,0.8058411295376752,0.8024625581534388,-0.003378571384236362,Ridge higher
CD49d,0.660546560056334,0.6571287406730912,-0.003417819383242815,Ridge higher
CD134,0.2502935824598948,0.2468688977244111,-0.003424684735483713,Ridge higher
Mouse-IgG2a,0.1796114104511843,0.1752536614953281,-0.004357748955856222,Ridge higher
CD279,0.2570403512841671,0.252608957849581,-0.004431393434586095,Ridge higher
CD158e1,0.1565710721325091,0.1520672323561721,-0.004503839776337004,Ridge higher
CD185,0.1791403486386328,0.1745376455664652,-0.004602703072167591,Ridge higher
HLA-A-B-C,0.6630138756986191,0.6580687765633191,-0.004945099135300057,Ridge higher
Rat-IgG2a,0.1797905038282538,0.1735808889206157,-0.006209614907638078,Ridge higher
CD4,0.3132929022508662,0.3068251669803193,-0.006467735270546893,Ridge higher
CD83,0.3409765526304202,0.3342360840861404,-0.006740468544279787,Ridge higher
CD81,0.7007142545101536,0.6939408377140098,-0.006773416796143739,Ridge higher
CD194,0.1008403641329724,0.0937069338337906,-0.0071334302991818005,Ridge higher
CD16,0.090279866310072,0.0821168200585576,-0.0081630462515144,Ridge higher
IgD,0.0361394185752119,0.0278599588317211,-0.0082794597434908,Ridge higher
CD107a,0.5290229364809692,0.5207200843332767,-0.008302852147692552,Ridge higher
CD119,0.4416291246650601,0.4327795925373534,-0.008849532127706727,Ridge higher
CD33,0.6036001963510004,0.5941372313542242,-0.009462964996776124,Ridge higher
CD27,0.0647867876769544,0.0551730001394656,-0.009613787537488795,Ridge higher
CD18,0.5259880488223354,0.5158595420844083,-0.01012850673792709,Ridge higher
Mouse-IgG2b,0.1669465182926961,0.1554168220302565,-0.011529696262439604,Ridge higher
CD45RO,0.4433541596077668,0.4317869048551686,-0.011567254752598233,Ridge higher
CD86,0.4306616367698996,0.419031167909693,-0.011630468860206578,Ridge higher
Rat-IgG1,0.1687161632629973,0.1570006336330964,-0.011715529629900884,Ridge higher
CD11a,0.7609738410799068,0.7489318282548645,-0.012042012825042359,Ridge higher
CD82,0.7378386220270107,0.7250455434117926,-0.012793078615218056,Ridge higher
CD45RA,0.7888587091012211,0.7758787547146389,-0.012979954386582282,Ridge higher
CD69,0.3203003710951977,0.3069291148608918,-0.013371256234305906,Ridge higher
CD31,0.7147158068273419,0.7011362303713814,-0.01357957645596053,Ridge higher
CD24,0.2325729304495155,0.2183706225363758,-0.0142023079131397,Ridge higher
CD278,0.3944908424596299,0.380124473360093,-0.014366369099536924,Ridge higher
CD162,0.5588773998114889,0.5428199123177889,-0.01605748749369995,Ridge higher
CD123,0.6268207656539302,0.6104570425746542,-0.016363723079276027,Ridge higher
CD38,0.7214630326078164,0.7022625799032318,-0.019200452704584592,Ridge higher
CD23,0.2208454760017531,0.2013034795615526,-0.01954199644020052,Ridge higher
CD112,0.7827151784285692,0.7627916828215201,-0.01992349560704909,Ridge higher
CX3CR1,0.2726273203215212,0.2522838022618824,-0.0203435180596388,Ridge higher
KLRG1,0.5989640148056378,0.5750289777012914,-0.023935037104346413,Ridge higher
CD47,0.6573030661479311,0.6305996796244401,-0.026703386523491024,Ridge higher
CD62L,0.7802735654078642,0.7533730231979093,-0.02690054220995486,Ridge higher
CD7,0.1163234027708952,0.0890760073000971,-0.027247395470798103,Ridge higher
CD158,0.5722460010684971,0.5444593657239774,-0.02778663534451975,Ridge higher
CD63,0.6991685618696832,0.6662241552079181,-0.032944406661765124,Ridge higher
HLA-DR,0.6611289513742693,0.6241959175566254,-0.0369330338176439,Ridge higher
CD155,0.6496089238799283,0.6121086219124119,-0.037500301967516414,Ridge higher
CD44,0.6941323421386629,0.6554974583152924,-0.03863488382337055,Ridge higher
CD142,0.5539222758752773,0.5023792824350555,-0.05154299344022184,Ridge higher
CD244,0.7341493049087064,0.6765589902505441,-0.057590314658162334,Ridge higher
integrinB7,0.4763440474665645,0.4121112074205599,-0.0642328400460046,Ridge higher
